Radial Modelled (mm)	 Height Modelled (mm)
0.0	-0.20835405588150000
0.01017647236585620	-0.2082251012325290
0.02035294473171230	-0.2080286145210270
0.030521653592586500	-0.20788739621639300
0.04070588946342470	-0.20751285552978500
0.05085907503962520	-0.20704005658626600
0.061043307185173000	-0.2064567357301710
0.0712275430560112	-0.20578132569789900
0.08141177892684940	-0.205075204372406
0.09159600734710690	-0.20421558618545500
0.10171815007925000	-0.20320861041545900
0.1119023859500890	-0.20219549536705000
0.12208661437034600	-0.20102886855602300
0.13227085769176500	-0.19975785911083200
0.1424550861120220	-0.1984131634235380
0.15263932943344100	-0.19699479639530200
0.16282355785369900	-0.19544748961925500
0.1730077862739560	-0.19380192458629600
0.18319201469421400	-0.19218707084655800
0.1932520717382430	-0.19045555591583300
0.20343630015850100	-0.18865033984184300
0.21362054347991900	-0.18674689531326300
0.223804771900177	-0.1847268044948580
0.23398900032043500	-0.18259002268314400
0.24417322874069200	-0.1802690476179120
0.2543574869632720	-0.17797264456749000
0.26454171538353000	-0.17554114758968400
0.27472594380378700	-0.17293773591518400
0.2849101722240450	-0.17018082737922700
0.29509440064430200	-0.16744232177734400
0.3052786588668820	-0.16458715498447400
0.3154628872871400	-0.16156005859375
0.32564711570739700	-0.1583978831768040
0.33583134412765500	-0.15518659353256200
0.3460155725479130	-0.15182794630527500
0.35619980096817000	-0.1483219414949420
0.36638402938842800	-0.14479748904705000
0.3765683174133300	-0.1412239372730260
0.3865041434764860	-0.1375029981136320
0.3966883718967440	-0.13357025384903000
0.40687260031700100	-0.12959451973438300
0.4170568287372590	-0.12551438808441200
0.42724108695983900	-0.12121935933828400
0.43742531538009600	-0.11672785878181500
0.447609543800354	-0.1122916042804720
0.4577937722206120	-0.10782158374786400
0.46797800064086900	-0.10314280539751100
0.4781622290611270	-0.09828288108110430
0.4883464574813840	-0.0933922603726387
0.49853071570396400	-0.0883573517203331
0.5087149739265440	-0.08307990431785580
0.5186507701873780	-0.07766429334878920
0.5290834307670590	-0.07193248718976970
0.5390192270278930	-0.06603182107210160
0.5494518876075750	-0.06005745008587840
0.5593876838684080	-0.05430416017770770
0.5698203444480900	-0.04849405586719510
0.5797561407089230	-0.042358506470918700
0.5901888012886050	-0.03588680550456050
0.6001246571540830	-0.029398994520306600
0.6105573177337650	-0.02257729507982730
0.6204931735992430	-0.015401400625705700
0.6309257745742800	-0.008523622527718540
0.6408616304397580	-0.0014071647310629500
0.6512942314147950	0.006045336835086350
0.6612300872802730	0.012231134809553600
0.6716626882553100	0.01651466079056260
0.6815985441207890	0.01890469714999200
0.6920311450958250	0.01998920366168020
0.7019670009613040	0.020569443702697800
0.7123996019363400	0.020891036838293100
0.7223354578018190	0.02099081315100190
0.7327680587768560	0.020935557782650000
0.7427039742469790	0.020757485181093200
0.7531366348266600	0.020462755113840100
0.7630724310874940	0.020084379240870500
0.7730082869529720	0.019672993570566200
0.783440887928009	0.019227053970098500
0.7933767437934880	0.018753500655293500
0.8038093447685240	0.01827840507030490
0.8137452006340030	0.017801780253648800
0.8241778016090390	0.017325155436992600
0.8341136574745180	0.016850057989358900
0.8445462584495540	0.016375727951526600
0.8544821739196780	0.015904484316706700
0.8649147152900700	0.015441665425896600
0.8748506307601930	0.014981154352426500
0.8852832317352300	0.014523717574775200
0.895219087600708	0.014067809097468900
0.9056517481803890	0.013623413629829900
0.9155875444412230	0.01317672524601220
0.9260202050209050	0.012735402211546900
0.9359560012817380	0.012300601229071600
0.9463886618614200	0.01187155582010750
0.9563244581222530	0.011449421755969500
0.9667571187019350	0.011031889356672800
0.9766929149627690	0.010618584230542200
0.98712557554245	0.010212954133749000
0.9970614314079290	0.009816918522119520
1.0074940919876100	0.009420103393495080
1.0174299478530900	0.009036734700202940
1.0273656845092800	0.008652211166918280
1.0373015403747600	0.008281494490802290
1.0482310056686400	0.007918843068182470
1.0581668615341200	0.007563866209238770
1.0681027173996000	0.007212727330625060
1.0780384540557900	0.006868109107017520
1.0889679193496700	0.006530026905238630
1.098903775215150	0.0061969212256372000
1.1088396310806300	0.005871880799531940
1.1187753677368200	0.005554890260100370
1.1297048330307000	0.005242891609668730
1.1396406888961800	0.004937428515404460
1.1495765447616600	0.004638471640646460
1.1595122814178500	0.004345675930380820
1.170441746711730	0.004059775732457640
1.1803776025772100	0.0037788525223732000
1.1903135776519800	0.0035033258609473700
1.2002493143081700	0.003233915427699690
1.2111786603927600	0.002971430541947480
1.2211146354675300	0.0027158414013683800
1.2310504913330100	0.0024637149181217000
1.2409863471984900	0.0022192636970430600
1.251915693283080	0.0019820979796350000
1.2618515491485600	0.001750313793309030
1.271787405014040	0.001523506478406490
1.2817232608795200	0.0012993974378332500
1.2916589975357100	0.0010819892631843700
1.3025884628295900	0.000868823379278183
1.3125243186950700	0.0006613988662138580
1.3224601745605500	0.0004582017136272040
1.3323959112167400	0.0002615254488773640
1.3433253765106200	7.28991362848319E-05
1.3532612323761000	-0.00011418315989431000
1.3631970882415800	-0.00029646846815012400
1.3731329441070600	-0.00047433158033527400
1.3840622901916500	-0.0006491366075351830
1.393998146057130	-0.0008199091535061600
1.4039340019226100	-0.0009837710531428460
1.413869857788090	-0.0011438103392720200
1.4247992038726800	-0.0012999970931559800
1.4347350597381600	-0.0014531108317896700
1.4446709156036400	-0.0016014424618333600
1.4546068906784100	-0.0017468809382990000
1.465536117553710	-0.0018869527848437400
1.475472092628480	-0.0020233821123838400
1.4854079484939600	-0.002156153554096820
1.495343804359440	-0.002286061644554140
1.5062732696533200	-0.0024132716935128000
1.5162090063095100	-0.0025360744912177300
1.5261448621749900	-0.002655339427292350
1.5360807180404700	-0.0027711265720427000
1.5460165739059400	-0.0028848149813711600
1.5569459199905400	-0.002994291251525280
1.566881775856020	-0.0031013537663966400
1.5768176317215000	-0.0032048786524683200
1.586753487586980	-0.003306184895336630
1.5976828336715700	-0.0034045230131596300
1.6076186895370500	-0.0035002678632736200
1.6175545454025300	-0.0035927596036344800
1.6274904012680100	-0.0036827479489147700
1.6384198665618900	-0.003771207295358180
1.6483556032180800	-0.00385678862221539
1.6582914590835600	-0.003939386457204820
1.6682273149490400	-0.004019211512058970
1.67915678024292	-0.004098361358046530
1.6890925168991100	-0.004174723289906980
1.6990283727645900	-0.004248416982591150
1.7089643478393600	-0.004319892264902590
1.7198936939239500	-0.004390107933431860
1.7298294305801400	-0.004458330105990170
1.7397654056549100	-0.0045238989405334
1.7497012615203900	-0.004587698727846150
1.76063072681427	-0.004650644026696680
1.770566463470460	-0.004711085930466650
1.7805023193359400	-0.004769609309732910
1.790438175201420	-0.004827308002859350
1.8003740310668900	-0.004883387591689830
1.8113034963607800	-0.004937548656016590
1.8212392330169700	-0.00498949084430933
1.8311750888824500	-0.005041118245571850
1.8411109447479200	-0.005091141909360890
1.852040410041810	-0.005139111541211610
1.861976146698000	-0.005185597576200960
1.8719120025634800	-0.005232173018157480
1.881847858428960	-0.005276740062981840
1.8927773237228400	-0.005319148302078250
1.9027130603790300	-0.0053618415258824800
1.9126489162445100	-0.005402945913374420
1.9225847721099900	-0.005442325957119470
1.9335142374038700	-0.0054808068089187100
1.9434500932693500	-0.005518837831914430
1.953385829925540	-0.005555205047130590
1.9633218050003100	-0.005590657703578470
1.9742511510849	-0.005625510588288310
1.9841870069503800	-0.005659344606101510
1.994122862815860	-0.005691484082490210
2.004058599472050	-0.005723669193685060
2.0149881839752200	-0.005754909478127960
2.024923801422120	-0.005784575827419760
2.0348598957061800	-0.005814122036099430